what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1306859710550
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1306859710643
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1306859711846
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1306859712628
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1306859713237
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1306859713878
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306859721409
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306859768112
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1306859774144
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306859774894
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306859867707
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306859883191
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306859883285
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1306859886332
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1306859910629
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306859941520
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306860566868
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306860567696
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306860598883
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1306860600180
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306860605524
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306860605633
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306860607290
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306860607415
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306860609071
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306860609212
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1306860610258
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1306860617227
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.cut",1306860621883
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1306860623868
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1306860626602
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1306860632790
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306860633977
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306860650884
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1306860653212
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1306860654571
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1306860658040
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306860660259
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306860660368
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306860662399
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306860662524
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1306860664681
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306860665806
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306860890432
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1306860894041
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306860896541
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306860902838
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1306860903010
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1306860903104
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1306860904370
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1306860905401
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306860906260
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306860910042
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1306860911932
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1306860914885
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306860915760
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306861248309
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1306861249872
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306861252559
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306861255700
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1306861255872
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1306861255966
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306861257184
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306861526014
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1306861549077
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306861555608
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306861596593
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1306861598280
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306861601390
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306861611484
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1306861611655
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1306861611734
