Student Name: William Collins
line 1: op1 = -489.11, op2 = 432.89, op = '+', result = -56.219
line 2: op1 = 0.25, op2 = -0.84, op = '+', result = -0.594
line 1: op1 = -489.11, op2 = 432.89, op = '-', result = -921.994
line 3: op1 = 729.27, op2 = -108.97, op = '+', result = 620.300
line 2: op1 = 0.25, op2 = -0.84, op = '-', result = 1.084
line 4: op1 = 914.39, op2 = 428.62, op = '+', result = 1343.013
line 3: op1 = 729.27, op2 = -108.97, op = '-', result = 838.243
line 5: op1 = -550.12, op2 = -360.42, op = '+', result = -910.538
line 4: op1 = 914.39, op2 = 428.62, op = '-', result = 485.771
line 6: op1 = -451.00, op2 = -131.11, op = '+', result = -582.106
line 1: op1 = -489.11, op2 = 432.89, op = '/', result = -1.130
line 5: op1 = -550.12, op2 = -360.42, op = '-', result = -189.695
line 7: op1 = -822.70, op2 = 850.75, op = '+', result = 28.047
line 2: op1 = 0.25, op2 = -0.84, op = '/', result = -0.292
line 6: op1 = -451.00, op2 = -131.11, op = '-', result = -319.896
line 8: op1 = -523.00, op2 = -532.69, op = '+', result = -1055.689
line 3: op1 = 729.27, op2 = -108.97, op = '/', result = -6.692
line 1: op1 = -489.11, op2 = 432.89, op = '*', result = -211728.210
line 4: op1 = 914.39, op2 = 428.62, op = '/', result = 2.133
line 7: op1 = -822.70, op2 = 850.75, op = '-', result = -1673.444
line 9: op1 = 150.58, op2 = -277.38, op = '+', result = -126.802
line 2: op1 = 0.25, op2 = -0.84, op = '*', result = -0.206
line 5: op1 = -550.12, op2 = -360.42, op = '/', result = 1.526
line 8: op1 = -523.00, op2 = -532.69, op = '-', result = 9.685
line 10: op1 = -58.99, op2 = 170.64, op = '+', result = 111.653
line 3: op1 = 729.27, op2 = -108.97, op = '*', result = -79469.888
line 6: op1 = -451.00, op2 = -131.11, op = '/', result = 3.440
line 9: op1 = 150.58, op2 = -277.38, op = '-', result = 427.958
line 11: op1 = -0.32, op2 = 2.81, op = '+', result = 2.486
line 4: op1 = 914.39, op2 = 428.62, op = '*', result = 391927.908
line 7: op1 = -822.70, op2 = 850.75, op = '/', result = -0.967
line 10: op1 = -58.99, op2 = 170.64, op = '-', result = -229.625
line 12: op1 = 176.01, op2 = -109.41, op = '+', result = 66.599
line 5: op1 = -550.12, op2 = -360.42, op = '*', result = 198273.599
line 13: op1 = 373.91, op2 = -625.45, op = '+', result = -251.538
line 8: op1 = -523.00, op2 = -532.69, op = '/', result = 0.982
line 11: op1 = -0.32, op2 = 2.81, op = '-', result = -3.132
line 6: op1 = -451.00, op2 = -131.11, op = '*', result = 59128.533
line 14: op1 = 3112.35, op2 = -435.36, op = '+', result = 2676.987
line 9: op1 = 150.58, op2 = -277.38, op = '/', result = -0.543
line 12: op1 = 176.01, op2 = -109.41, op = '-', result = 285.426
line 7: op1 = -822.70, op2 = 850.75, op = '*', result = -699906.833
line 15: op1 = 425.60, op2 = 256.71, op = '+', result = 682.309
line 10: op1 = -58.99, op2 = 170.64, op = '/', result = -0.346
line 13: op1 = 373.91, op2 = -625.45, op = '-', result = 999.354
