t1 16838, t1 5758
t2 10113, t2 17515
t1 31051, t1 5627
t2 23010, t2 7419
t1 16212, t1 4086
t2 2749, t2 12767
t1 9084, t1 12060
t2 32225, t2 17543
t1 25089, t1 21183
t2 25137, t2 25566
t1 26966, t1 4978
t2 20495, t2 10311
t1 11367, t1 30054
t2 17031, t2 13145
t1 19882, t1 25736
t2 30524, t2 28505
t1 28394, t1 22102
t2 24851, t2 19067
t1 12754, t1 11653
t2 6561, t2 27096
t1 13628, t1 15188
t2 32085, t2 4143
t1 6967, t1 31406
t2 24165, t2 13403
t1 25562, t1 24834
t2 31353, t2 920
t1 10444, t1 24803
t2 7962, t2 19318
t1 1422, t1 31327
t2 10457, t2 1945
t1 14479, t1 29983
t2 18751, t2 3894
t1 18670, t1 8259
t2 16248, t2 7757
t1 15629, t1 13306
t2 28606, t2 13990
t1 11738, t1 12516
t2 1414, t2 5262
t1 17116, t1 22825
t2 3181, t2 13134
t1 25343, t1 8022
t2 11233, t2 7536
t1 9760, t1 9979
t2 29071, t2 1201
t1 21336, t1 13061
t2 22160, t2 24005
t1 30729, t1 7644
t2 27475, t2 31693
t1 25514, t1 14139
t2 22088, t2 26521
t1 5202, t1 9171
t2 4434, t2 28317
t1 24582, t1 6815
t2 4586, t2 9653
t1 26306, t1 7174
t2 18451, t2 23448
t1 6473, t1 32434
t2 8193, t2 14110
t1 24748, t1 28210
t2 29320, t2 32049
t1 12956, t1 14162
t2 4166, t2 14997
t1 7793, t1 32310
t2 21391, t2 19799
t1 7926, t1 14905
t2 25885, t2 2582
t1 15610, t1 5000
t2 8052, t2 30965
t1 20120, t1 32380
t2 15639, t2 26204
t1 24385, t1 12475
t2 15725, t2 17265
t1 3214, t1 19471
t2 11376, t2 4697
t1 25543, t1 23297
t2 14619, t2 23087
t1 3123, t1 31549
t2 18065, t2 24256
t1 18973, t1 20901
t2 25613, t2 6157
t1 9899, t1 9267
t2 22413, t2 9598
t1 18526, t1 13711
t2 10046, t2 14566
t1 18536, t1 15988
t2 19878, t2 13626
t1 4273, t1 8387
t2 1171, t2 32017
t1 3752, t1 12388
t2 21191, t2 11483
t1 18122, t1 11744
t2 18528, t2 15585
t1 5363, t1 20159
t2 5641, t2 18176
t1 9575, t1 28578
t2 27363, t2 27685
t1 29344, t1 19489
t2 17713, t2 5511
t1 21461, t1 22626
t2 8645, t2 3496
t1 26703, t1 6270
t2 13870, t2 11529
t1 27499, t1 4500
t2 8607, t2 5808
t1 15725, t1 12457
t2 16542, t2 16474
t1 11531, t1 17222
t2 3952, t2 17024
t1 19894, t1 24015
t2 18247, t2 11276
t1 26278, t1 19365
t2 8746, t2 21976
t1 18092, t1 25851
t2 29088, t2 29163
t1 2231, t1 26233
t2 29732, t2 21106
t1 5411, t1 9874
t2 5448, t2 9344
t1 27589, t1 17574
t2 1191, t2 6789
t1 695, t1 11735
t2 20364, t2 17040
t1 17892, t1 5035
t2 26979, t2 1092
t1 850, t1 12390
t2 20195, t2 668
t1 20531, t1 29989
t2 12281, t2 23902
t1 12970, t1 32186
t2 19571, t2 3680
t1 7261, t1 26187
t2 28529, t2 24190
t1 446, t1 24233
t2 13708, t2 11863
t1 6681, t1 6001
t2 2499, t2 3786
t1 5214, t1 25829
t2 1322, t2 25907
t1 19628, t1 13192
t2 7505, t2 5990
t1 20129, t1 10875
t2 19829, t2 31591
t1 12388, t1 6042
t2 9833, t2 1775
t1 4719, t1 342
t2 28994, t2 31392
t1 20509, t1 31313
t2 20677, t2 1282
t1 11511, t1 4795
t2 3474, t2 6469
t1 2750, t1 879
t2 30989, t2 30134
t1 29752, t1 28364
t2 4880, t2 5629
t1 2235, t1 21332
t2 24145, t2 3356
t1 5243, t1 3079
t2 3988, t2 807
t1 24979, t1 31357
t2 914, t2 21187
t1 3540, t1 14022
t2 10149, t2 609
t1 29009, t1 24833
t2 16696, t2 5432
t1 24999, t1 28863
t2 16369, t2 28676
t1 24077, t1 7701
t2 1691, t2 19840
t1 28703, t1 16515
t2 22229, t2 32420
t1 19817, t1 16264
t2 19324, t2 29343
t1 1462, t1 28929
t2 3546, t2 17043
t1 18967, t1 325
t2 12683, t2 15634
t1 6322, t1 16642
t2 25395, t2 11612
t1 22864, t1 29910
t2 21985, t2 23126
t1 13988, t1 685
t2 6978, t2 31050
t1 16476, t1 6365
t2 21126, t2 4193
t1 8681, t1 11011
t2 23058, t2 1249
t1 31247, t1 24731
t2 28650, t2 20774
t1 7980, t1 20833
t2 27868, t2 7778
t1 23624, t1 11115
t2 1645, t2 15892
t1 29408, t1 7939
t2 17285, t2 16202
t1 28018, t1 11334
t2 4058, t2 7062
t1 3784, t1 11901
t2 6684, t2 14289
t1 27141, t1 16702
t2 26853, t2 13458
t1 28528, t1 23363
t2 21087, t2 19052
t1 31235, t1 15109
t2 17075, t2 11755
t1 10675, t1 288
t2 32053, t2 14157
t1 5758, t1 5222
t2 17488, t2 18945
t1 10294, t1 11200
t2 5171, t2 14305
t1 7951, t1 6601
t2 23608, t2 7214
t1 6377, t1 13865
t2 25369, t2 27215
t1 8030, t1 177
t2 16849, t2 11337
t1 2699, t1 23099
t2 8531, t2 11517
t1 17567, t1 28479
t2 9966, t2 2597
t1 14885, t1 12341
t2 15227, t2 27149
t1 785, t1 29615
t2 6476, t2 20753
t1 4236, t1 7730
t2 19668, t2 21210
t1 27519, t1 27608
t2 5142, t2 6999
t1 20449, t1 14246
t2 18638, t2 2941
t1 12481, t1 23726
t2 16738, t2 26047
t1 28947, t1 3300
t2 21639, t2 17996
t1 23866, t1 14785
t2 27571, t2 25356
t1 12633, t1 27289
t2 20551, t2 20312
t1 14426, t1 7357
t2 8056, t2 16252
t1 20410, t1 2384
t2 4353, t2 2029
t1 23579, t1 27882
t2 31882, t2 21577
t1 31368, t1 11502
t2 18902, t2 21012
t1 31365, t1 30379
t2 14256, t2 19244
t1 27870, t1 13365
t2 9619, t2 27665
t1 21293, t1 29441
t2 19484, t2 12759
t1 15400, t1 6211
t2 4144, t2 15335
t1 22704, t1 32520
t2 23789, t2 32121
t1 21913, t1 23571
t2 12369, t2 2770
t1 1594, t1 887
t2 18093, t2 32317
t1 11188, t1 27640
t2 4295, t2 12490
t1 25859, t1 3106
t2 24786, t2 17097
t1 5062, t1 27943
t2 31247, t2 12292
t1 16846, t1 3962
t2 28479, t2 27584
t1 21352, t1 32044
t2 31695, t2 16498
t1 4714, t1 9737
t2 17346, t2 28482
t1 24064, t1 24946
t2 9822, t2 19265
t1 2868, t1 12792
t2 3990, t2 19561
t1 16959, t1 9917
t2 29754, t2 22104
t1 25745, t1 30347
t2 25825, t2 11980
t1 18338, t1 12465
t2 25490, t2 24541
t1 20599, t1 8097
t2 26677, t2 510
t1 15347, t1 14667
t2 16316, t2 10673
t1 8163, t1 14647
t2 12817, t2 29965
t1 28871, t1 16485
t2 6846, t2 29937
t1 6241, t1 5861
t2 24670, t2 28166
t1 26879, t1 27445
t2 30407, t2 11638
t1 31113, t1 11101
t2 22516, t2 28014
t1 13898, t1 21452
t2 8117, t2 1364
t1 12926, t1 20465
t2 13845, t2 25032
t1 1696, t1 18585
t2 13455, t2 92
t1 18288, t1 31755
t2 29167, t2 27412
t1 25030, t1 31717
t2 24842, t2 28572
t1 26393, t1 27828
t2 11805, t2 3660
t1 5838, t1 9046
t2 18182, t2 23772
t1 12354, t1 15377
t2 14885, t2 22759
t1 22934, t1 1903
t2 6159, t2 26145
t1 10045, t1 26847
t2 17401, t2 29783
t1 4167, t1 781
t2 24287, t2 2347
t1 23402, t1 19964
t2 14711, t2 10637
t1 20693, t1 29417
t2 30937, t2 24313
t1 15541, t1 2528
t2 23019, t2 21618
t1 3716, t1 5402
t2 16270, t2 18242
t1 8468, t1 22045
t2 30602, t2 18286
t1 30559, t1 22674
t2 25146, t2 1019
t1 31243, t1 20197
t2 26870, t2 7908
t1 448, t1 7327
t2 28485, t2 17622
t1 14890, t1 10883
t2 10943, t2 1201
t1 10701, t1 24682
t2 3524, t2 8895
t1 27276, t1 24798
t2 12511, t2 25522
t1 24311, t1 25209
t2 26359, t2 2912
t1 28759, t1 17148
t2 26683, t2 2877
t1 8571, t1 12334
t2 16331, t2 7324
t1 577, t1 635
t2 26663, t2 17061
t1 20451, t1 9544
t2 16984, t2 28693
t1 19975, t1 10519
t2 21472, t2 19641
t1 9349, t1 23391
t2 30563, t2 22184
t1 19958, t1 41
t2 27666, t2 23363
t1 25344, t1 2410
t2 28635, t2 1006
t1 20068, t1 26660
t2 20562, t2 29323
t1 13764, t1 21307
t2 7773, t2 10683
t1 9013, t1 8216
t2 28834, t2 15571
t1 15241, t1 2303
t2 24754, t2 928
t1 3417, t1 32048
t2 12018, t2 19931
t1 17621, t1 22209
t2 14669, t2 21098
t1 20555, t1 4662
t2 12444, t2 22109
t1 16760, t1 25574
t2 14544, t2 18339
t1 30610, t1 18189
t2 24549, t2 18320
t1 24081, t1 25264
t2 6022, t2 24847
t1 19521, t1 24628
t2 7552, t2 26278
t1 20873, t1 4029
t2 32489, t2 13359
t1 31352, t1 30279
t2 8717, t2 20560
t1 23189, t1 8583
t2 795, t2 10687
t1 26339, t1 23935
t2 3988, t2 27703
t1 27958, t1 10212
t2 19567, t2 10553
t1 13368, t1 32047
t2 13068, t2 20611
t1 4154, t1 23429
